UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RO,11,15,Alta Floresta D'Oeste,22516
RO,11,23,Ariquemes,111148
RO,11,31,Cabixi,5067
RO,11,49,Cacoal,86416
RO,11,56,Cerejeiras,16088
RO,11,64,Colorado do Oeste,15213
RO,11,72,Corumbiara,7052
RO,11,80,Costa Marques,19255
RO,11,98,Espigão D'Oeste,33009
RO,11,106,Guajará-Mirim,4693
RO,11,114,Jaru,51469
RO,11,122,Ji-Paraná,131026
RO,11,130,Machadinho D'Oeste,41724
RO,11,148,Nova Brasilândia D'Oeste,20504
RO,11,155,Ouro Preto do Oeste,35445
RO,11,189,Pimenta Bueno,37098
RO,11,205,Porto Velho,548952
RO,11,254,Presidente Médici,18165
RO,11,262,Rio Crespo,3843
RO,11,288,Rolim de Moura,55748
RO,11,296,Santa Luzia D'Oeste,5942
RO,11,304,Vilhena,104517
RO,11,320,São Miguel do Guaporé,23147
RO,11,338,Nova Mamoré,32184
RO,11,346,Alvorada D'Oeste,13807
RO,11,379,Alto Alegre dos Parecis,13268
RO,11,403,Alto Paraíso,22258
RO,11,452,Buritis,41043
RO,11,502,Novo Horizonte do Oeste,8125
RO,11,601,Cacaulândia,6307
RO,11,700,Campo Novo de Rondônia,14391
RO,11,809,Candeias do Jamari,28068
RO,11,908,Castanheiras,2923
RO,11,924,Chupinguaia,11755
RO,11,940,Cujubim,27131
RO,11,1005,Governador Jorge Teixeira,713
RO,11,1104,Itapuã do Oeste,10819
RO,11,1203,Ministro Andreazza,9461
RO,11,1302,Mirante da Serra,10691
RO,11,1401,Monte Negro,16158
RO,11,1435,Nova União,6822
RO,11,1450,Parecis,6319
RO,11,1468,Pimenteiras do Oeste,2127
RO,11,1476,Primavera de Rondônia,2697
RO,11,1484,São Felipe D'Oeste,4962
RO,11,1492,São Francisco do Guaporé,21088
RO,11,1500,Seringueiras,11846
RO,11,1559,Teixeirópolis,416
RO,11,1609,Theobroma,10348
RO,11,1708,Urupá,11081
RO,11,1757,Vale do Anari,11545
RO,11,1807,Vale do Paraíso,649
AC,12,13,Acrelândia,15721
AC,12,54,Assis Brasil,7649
AC,12,104,Brasiléia,27123
AC,12,138,Bujari,10572
AC,12,179,Capixaba,1228
AC,12,203,Cruzeiro do Sul,8976
AC,12,252,Epitaciolândia,18979
AC,12,302,Feijó,34986
AC,12,328,Jordão,8628
AC,12,336,Mâncio Lima,19643
AC,12,344,Manoel Urbano,9701
AC,12,351,Marechal Thaumaturgo,19727
AC,12,385,Plácido de Castro,20147
AC,12,393,Porto Walter,12497
AC,12,401,Rio Branco,419452
AC,12,427,Rodrigues Alves,19767
